Age,Referrals,Tenure_Months,Add-on Service,Monthly Charge,Churn Score
65,0,1,3,71.65,84
70,0,1,4,74.2,71
68,8,43,6,101,87
80,3,25,6,89.05,90
77,1,36,7,96.5,82
65,1,1,3,70.85,69
66,1,41,9,111.95,93
70,0,1,3,69.1,83
69,0,2,5,78.55,92
66,0,49,6,96.2,74
75,0,6,3,74.4,91
75,1,7,5,84.55,80
67,0,20,6,85.8,75
75,0,54,8,101.5,68
74,0,2,3,69.6,74
74,0,30,3,40.3,94
67,1,58,8,98.7,91
74,1,68,8,100.2,70
69,1,24,7,93.55,91
70,1,27,8,95.55,75
79,0,2,2,24.35,72
76,0,29,7,98.65,93
78,1,5,4,79.9,90
79,0,28,8,103.3,78
73,0,24,8,102.95,66
74,7,43,9,109.55,69
73,0,2,6,66.4,87
71,6,66,7,100.05,72
68,1,66,8,105.95,86
70,0,31,4,73.9,75
66,0,37,6,96.55,81
65,0,24,8,101.25,87
78,0,2,3,44.15,86
74,0,8,4,75.75,92
78,1,1,5,80.3,87
79,0,9,4,80.85,71
76,0,49,6,90.85,70
67,0,1,2,25.1,85
80,0,17,6,89.15,89
77,0,3,4,79.9,90
73,0,30,6,99.7,69
74,1,41,6,83.75,71
76,1,42,4,74.15,94
78,0,72,10,92.45,78
78,1,11,7,99.55,71
66,0,8,5,81.25,72
69,0,1,4,50.55,95
74,0,27,6,85.25,80
68,0,1,6,85.05,96
68,0,54,5,79.5,78
68,0,4,4,74.9,78
75,0,25,8,102.8,94
73,0,9,5,83.85,71
72,0,27,6,88.3,96
68,1,56,6,100.65,85
74,1,66,8,80.55,94
71,1,24,5,78.85,65
75,1,24,4,39.1,89
66,1,65,8,106.25,69
76,0,1,6,94,67
67,0,15,6,89.85,91
79,0,8,8,105.5,72
78,0,7,4,73.75,84
79,0,9,5,54.55,79
78,0,37,4,76.25,91
71,0,3,3,70.4,67
76,9,48,10,117.45,67
65,0,8,3,29.4,85
75,1,37,5,85.7,86
75,0,28,8,106.15,83
69,0,36,6,90.85,92
68,1,4,3,46,92
66,0,8,6,94.45,83
65,0,50,7,95.7,73
77,1,61,8,104.4,84
66,1,40,4,39.3,91
72,0,2,3,44.7,91
77,0,10,5,85.55,81
66,1,16,5,85.35,66
80,0,2,4,79.6,94
68,0,19,6,90.6,87
78,0,7,8,94.7,75
74,0,3,4,77,96
74,1,40,8,99.2,69
65,0,47,5,85.5,68
70,0,15,4,75.3,91
70,3,24,9,104.25,80
75,0,15,5,80.2,76
70,0,1,3,69.65,78
71,1,36,5,84.1,79
79,1,34,5,79.6,66
79,0,1,3,36.45,96
73,1,47,4,80.35,95
74,1,24,4,40.65,85
80,1,43,7,107.55,93
69,1,16,7,98.75,87
71,0,5,3,69.05,74
73,0,37,7,101.1,87
79,0,5,4,45.7,73
67,1,28,7,101.3,68
72,1,10,6,92.5,77
75,0,1,4,74.45,67
76,0,10,2,29.65,89
69,0,3,3,70.3,91
76,0,12,7,99.45,91
68,0,26,6,89.15,89
77,1,1,2,24.8,73
67,0,20,5,61.6,85
67,0,32,6,96.15,79
76,1,1,3,69.55,67
66,0,5,4,84.85,74
80,0,1,4,73.65,86
78,1,6,5,84.35,77
69,1,1,3,46,67
78,0,15,4,79.4,74
78,1,16,3,71.8,86
68,1,44,7,88.4,91
75,3,3,5,83.9,68
70,0,1,2,69.85,68
65,1,26,6,84.95,75
71,0,22,6,90.5,71
72,0,40,6,55.8,90
69,0,1,1,20.05,91
70,0,10,6,84.6,94
80,1,1,1,20.85,90
73,1,58,9,105.5,91
73,0,6,5,85.15,90
79,1,71,9,105.1,66
79,1,20,6,90.8,87
73,5,27,8,104.3,75
77,2,13,2,70.15,85
68,5,68,7,96.55,86
70,0,1,3,69.65,82
68,0,1,5,89.3,85
76,0,15,6,96.3,72
68,0,9,4,85.05,74
80,0,1,3,70.3,91
79,0,70,4,45.25,90
78,0,20,3,71.3,91
76,1,21,3,69.1,67
65,0,1,6,86,82
80,1,46,6,59.9,80
65,0,14,5,78.95,88
78,0,47,6,85.2,72
78,1,13,7,98,91
68,0,3,8,105,87
73,1,26,7,93.85,86
75,1,8,5,84,91
66,1,18,4,78.55,84
73,0,4,2,25.2,72
73,0,15,5,55,94
70,1,3,6,94.6,87
74,1,53,8,103.85,87
70,1,68,8,105.3,79
71,0,25,6,88.95,91
66,1,66,9,110.85,74
68,1,27,2,36.5,93
73,1,29,6,94.45,71
77,1,1,6,90.6,93
73,3,2,4,86.85,78
65,1,29,8,99.05,82
65,0,19,7,95.9,68
78,0,47,7,95.05,65
69,0,52,9,104.2,68
67,0,11,7,95.15,71
74,0,43,6,89.55,73
77,0,46,6,85,71
79,0,6,8,98.25,83
68,0,1,2,25.7,83
76,6,1,4,76.4,89
80,5,22,4,40.05,75
72,0,1,4,73,76
78,0,33,6,83.85,79
67,0,2,3,70.65,74
74,0,26,6,95,90
68,0,60,7,106,78
66,5,38,4,74.95,82
71,3,1,4,49.25,84
65,2,7,8,101.95,74
65,0,2,7,94,93
69,1,51,5,77.5,96
68,0,1,4,74.4,89
68,1,47,7,100.05,91
76,1,40,7,101.85,84
74,1,1,2,25.05,95
79,0,2,4,74.85,84
69,0,42,8,104.75,79
74,0,2,3,79.75,77
71,1,14,7,100.2,90
69,0,66,9,110.9,93
74,0,1,3,76.45,95
79,0,12,6,91.3,94
69,0,6,6,95.75,90
80,0,27,5,81.45,83
65,0,3,6,91.05,91
78,1,2,5,79.2,67
75,0,14,4,74.3,71
73,1,57,7,100.6,74
80,0,64,7,70.2,89
74,0,2,3,70.75,96
65,0,40,5,79.2,94
71,0,1,5,85,93
74,3,37,7,92.5,95
76,1,4,4,74.95,69
73,0,55,8,98.8,69
71,1,32,5,80.3,94
72,0,66,4,80.45,79
76,1,6,5,84.2,72
69,0,4,6,88.85,74
80,0,3,2,25.3,74
78,0,8,7,101.35,68
71,1,3,8,105.9,71
73,1,43,8,103,91
79,0,13,5,82,91
72,1,27,7,101.25,77
69,0,25,6,89.5,90
79,0,22,3,74.4,81
68,1,18,7,99.75,68
77,0,56,9,111.95,91
68,0,16,4,39,92
79,1,50,5,88.05,87
68,0,3,4,75.05,83
73,1,1,3,74.45,94
79,0,1,4,75.75,90
75,0,4,3,74.4,77
69,3,71,8,96.35,38
79,10,2,5,95.5,69
71,0,1,3,45.25,40
65,0,43,6,90.25,52
65,9,25,7,69.5,25
72,9,60,8,74.85,59
77,3,66,9,108.45,74
71,9,64,9,111.6,69
73,0,56,9,110.5,21
80,0,30,7,74.75,55
79,0,1,4,74.7,60
65,0,66,5,45.55,28
73,0,71,7,56.45,68
71,1,72,11,88.05,8
66,7,71,2,23.95,52
66,1,23,6,86.8,38
77,2,65,8,94.4,7
68,0,13,5,54.8,7
66,0,4,4,75.35,40
69,5,29,5,45,50
79,1,57,6,89.85,36
67,0,19,7,105,59
68,3,20,8,107.05,65
79,5,21,6,64.95,23
77,0,6,5,89.35,75
73,4,35,7,100.8,38
71,9,38,7,101.15,78
67,0,5,3,69.35,41
68,9,11,5,82.9,21
75,3,28,2,35.9,34
79,0,17,5,82.65,26
69,0,32,4,54.65,56
72,0,1,4,72.1,50
69,9,64,7,97,68
72,0,7,5,89.15,25
70,0,16,5,54.1,38
78,1,72,8,64.8,68
77,5,27,9,84.8,75
73,0,2,3,44.3,44
76,10,42,5,95.05,34
78,7,33,9,109.9,59
74,0,33,6,54.6,30
71,9,32,7,93.95,62
72,10,48,3,70.65,71
75,5,55,4,51.65,24
79,4,52,9,105.1,47
76,0,49,8,101.55,22
78,0,22,8,69.75,32
75,5,72,10,116.05,64
66,2,64,9,102.1,28
71,0,17,1,20.65,40
77,6,35,8,76.05,38
74,0,20,5,81.45,27
73,9,61,7,64.05,29
73,4,71,5,80.7,54
78,1,20,7,94.3,32
79,1,5,3,70.05,24
77,1,29,4,51.6,39
77,1,72,9,115.75,60
80,0,56,8,99.9,45
80,0,68,7,107.15,66
80,9,50,8,101.9,25
74,0,47,6,59.6,33
76,6,28,9,110.85,58
68,3,35,7,94.55,69
71,0,44,9,109.8,35
69,0,66,7,102.85,40
73,1,10,3,34.55,55
74,7,66,8,104.6,27
72,0,72,9,111.65,75
70,0,49,6,89.85,30
74,0,24,2,70,77
80,0,65,9,110.35,79
74,0,40,8,103.75,20
65,0,22,1,20.05,21
72,1,47,4,84.95,68
76,0,27,8,104.65,31
75,7,68,5,80.35,28
70,1,9,1,21.25,69
66,0,42,5,79.35,79
68,0,72,10,89.85,56
69,8,72,9,110.8,80
75,3,72,10,114.95,61
74,0,3,3,75.05,56
72,4,70,4,75.65,30
65,0,5,1,20.05,31
70,4,60,7,93.25,70
65,0,26,1,19.3,64
66,0,7,4,84.35,38
70,0,27,9,110.5,56
77,0,32,5,81.1,50
72,0,15,6,89,77
67,0,23,3,75.4,49
77,0,22,5,81.7,34
73,10,4,5,83.25,37
66,9,32,6,91.35,35
80,10,7,3,29.8,69
76,9,8,5,60.9,27
80,0,56,8,73.25,26
69,1,53,6,95.85,65
69,2,23,1,20.75,45
73,0,5,5,84.7,54
67,5,45,5,86.1,41
69,2,60,9,110,59
80,5,72,9,112.4,37
68,0,20,5,54,20
71,0,59,5,79.2,25
74,6,46,7,98.85,41
69,0,71,9,89.85,33
70,0,47,5,86.05,69
73,1,72,10,114.65,29
73,8,14,1,19.65,66
65,8,11,4,75.2,28
65,5,62,7,97.95,50
67,1,23,7,95.1,66
72,1,71,10,82.7,20
68,0,70,5,44.05,68
77,1,32,7,100.4,59
71,1,43,7,94.3,63
75,0,71,7,104.05,70
70,1,20,5,60,37
77,2,61,8,98.3,74
76,6,23,4,90.45,24
67,5,55,6,88.8,73
67,0,45,2,34.2,38
71,0,56,6,94.8,59
66,0,4,4,80.25,20
75,5,49,7,88.2,24
78,2,71,8,99.4,29
74,3,72,10,114.85,26
75,3,72,9,84.45,25
71,0,20,4,80.7,73
66,4,61,5,82.15,33
79,0,29,6,101.45,76
69,0,18,4,49.85,71
70,7,71,8,92,66
69,0,44,3,73.85,48
68,8,65,9,109.4,39
66,5,58,7,97.8,23
67,0,6,1,19.5,77
69,0,52,6,48.8,67
73,2,69,9,105.4,45
74,0,13,7,96.85,28
70,6,71,8,99.2,23
73,0,66,7,70.85,37
79,9,64,7,94.25,63
74,0,45,7,102.15,69
74,4,23,6,88.45,70
68,2,7,7,64.2,74
75,4,6,4,80.8,68
77,0,4,3,69.35,26
75,0,11,8,111.4,28
78,2,68,6,60.65,24
73,4,21,6,71.7,38
75,0,65,6,53.5,76
66,0,50,8,106.8,59
67,0,7,6,64.95,37
67,4,72,7,104.1,54
68,8,30,6,90.05,39
79,7,38,8,102.6,40
71,10,60,5,80.95,71
69,4,65,8,108.8,64
70,3,67,9,105.4,64
72,0,7,3,45.75,57
71,0,27,3,70.55,65
68,4,55,7,90.45,42
74,0,3,4,73.85,74
69,0,30,7,69.1,75
76,0,2,5,83.8,53
79,0,17,7,94.2,54
80,10,61,8,99,20
75,0,52,10,110.75,46
70,10,72,8,96.6,78
76,0,44,8,74.85,71
67,0,65,10,109.05,29
77,0,72,2,25,69
80,2,60,9,104.35,73
79,0,26,7,66.05,43
79,2,42,9,105.2,36
66,0,23,5,79.35,50
65,0,72,8,98.35,73
73,5,22,7,63.55,36
69,0,54,6,90.05,23
78,1,47,7,67.45,67
78,0,52,6,50.5,70
76,2,26,5,60.7,68
71,0,48,7,99,78
72,0,4,5,50.95,33
70,1,72,10,89.1,39
71,7,22,5,85.35,49
74,0,24,4,54.8,25
75,0,31,5,90.7,60
65,0,9,4,75.5,30
80,0,71,8,105.75,54
76,7,1,4,74.3,47
73,0,1,2,70.6,25
67,0,28,7,64.45,37
66,0,16,3,69.65,63
65,1,65,9,103.15,51
76,0,56,6,101.05,65
79,1,72,9,84.1,63
76,7,11,3,70.2,29
77,7,30,7,74.85,27
71,0,59,7,94.05,30
75,5,72,8,102.65,66
75,2,71,7,95.5,80
71,8,56,9,85.65,70
72,0,34,7,99.85,71
76,0,64,9,108.95,26
70,0,20,5,89.95,33
73,3,70,8,104.45,27
78,0,5,3,71.45,36
74,4,72,10,89.55,25
73,0,66,7,100.8,32
69,7,72,7,74.4,58
73,10,72,8,93.05,39
79,5,52,8,104.45,78
72,0,40,5,91.55,59
75,10,44,8,104.15,32
68,0,7,4,48.2,34
66,0,72,2,25.1,74
74,0,8,8,100.15,42
78,7,8,7,64.4,78
73,0,1,3,45.2,44
79,6,48,9,104.5,71
69,0,65,7,95.45,62
68,4,26,5,85.7,23
70,1,35,8,102.05,35
69,6,16,5,85.05,80
75,0,14,5,39.7,47
75,0,18,7,93.9,47
67,1,71,10,109.7,26
65,1,48,7,91.05,60
67,1,31,6,90.7,34
74,1,38,7,95,71
72,0,11,5,54.55,40
77,0,27,6,86.45,77
72,0,1,3,70.05,51
75,10,59,6,82.95,61
79,0,50,2,25.2,61
72,0,31,4,73.55,39
66,0,2,4,81.5,59
65,0,4,4,74.45,50
66,10,57,6,90.65,23
77,1,50,9,105.05,40
68,5,61,2,25,78
65,5,72,2,24.3,55
73,10,29,7,90.1,55
69,0,41,8,101.1,38
67,1,70,11,92.2,44
67,0,8,3,69.95,47
80,0,2,1,19.2,24
80,0,30,8,101.3,34
67,0,57,7,69.85,72
72,1,25,7,88.4,51
73,1,28,3,51,44
74,8,70,10,113,47
79,0,5,5,59.9,35
73,10,33,7,93.55,21
65,0,4,1,20.05,20
79,6,72,10,116.75,68
79,0,34,7,96.35,32
65,8,41,7,53.95,46
78,8,56,6,72.6,79
75,0,52,4,72.95,72
70,6,60,5,89.45,44
75,0,7,5,44.4,77
75,0,37,4,36.65,72
76,8,65,8,103.9,75
72,0,66,7,63.85,80
69,5,60,6,99,40
69,4,70,10,88.55,37
76,0,67,7,101.4,28
78,2,72,10,90.15,49
68,0,67,9,116.1,60
65,0,6,4,74.1,79
78,9,32,7,93.5,77
67,1,8,5,43.35,68
73,0,33,8,105.35,58
72,7,55,9,113.6,56
71,0,14,5,46.35,44
78,0,57,5,53.5,58
66,8,37,6,90,62
78,0,24,1,20.3,71
76,0,38,5,80.45,41
72,6,44,6,89.2,36
73,0,67,2,25.1,26
75,7,25,3,69.3,50
74,3,67,9,105.6,45
76,9,72,9,64.45,68
68,3,24,4,34.25,63
66,0,9,4,74.05,51
70,0,44,7,89.15,27
65,2,70,9,107.9,53
73,8,68,1,19.5,51
68,10,72,10,78.45,71
76,0,4,4,72.75,50
65,0,3,7,94.85,40
76,0,39,7,90.7,39
79,0,12,3,29.35,27
69,0,51,5,79.6,59
78,3,4,3,29.9,46
77,0,17,6,101.8,53
70,1,66,9,110.6,67
71,1,69,9,109.95,63
68,0,38,6,94.75,71
71,7,66,9,107.35,53
74,6,18,5,59.1,30
78,0,49,3,43.8,68
70,0,2,5,84.05,72
65,0,71,8,105.9,60
68,0,64,8,74.65,58
73,0,11,5,55.6,80
68,0,57,7,104.9,75
65,7,67,1,20.05,76
77,7,70,10,113.65,46
68,2,40,8,98.15,53
66,3,70,8,104.8,57
76,6,65,3,70.95,30
67,8,29,4,35.65,46
80,0,15,5,91.5,41
67,0,56,8,104.75,35
78,10,65,6,85.75,21
66,6,65,7,100.75,66
76,0,38,5,83.45,49
79,1,2,3,69.3,58
67,0,51,2,25,49
74,0,43,5,84.85,56
69,1,2,4,74.2,32
65,7,70,11,90.05,47
80,0,33,7,59.45,30
69,0,30,6,90.5,53
74,0,32,4,79.5,24
71,7,34,6,90.15,38
71,0,1,3,46.3,65
71,0,55,5,50.05,70
67,6,69,6,87.3,69
80,1,33,6,50,65
75,8,37,3,72.25,20
67,1,62,6,96.1,37
68,0,1,2,71.25,49
75,0,72,10,113.8,56
74,3,60,7,100.5,34
80,0,30,8,104.1,59
66,0,8,3,69.7,20
79,0,71,2,24.65,73
73,2,70,1,19.55,22
74,4,49,4,49.8,37
69,9,24,7,96.55,73
71,0,11,5,78.5,51
65,0,72,10,108.1,71
73,3,12,8,79.2,42
72,1,52,9,80.85,76
71,0,18,4,73.55,66
74,3,50,9,75.15,34
69,6,72,10,112.9,29
76,0,64,2,25.65,36
69,8,72,8,106.85,58
73,0,7,4,51.3,46
67,1,52,9,109.1,49
70,1,60,10,116.05,77
79,4,67,6,94.65,47
69,0,1,3,44,46
79,7,17,6,94.8,49
70,9,52,7,106.5,57
70,0,8,5,85.2,53
79,5,16,5,54.55,34
72,0,39,7,99.75,58
76,0,52,9,108.1,69
70,1,72,7,64.95,78
70,1,68,6,84.65,72
77,3,59,7,64.05,49
71,5,46,7,100.25,59
80,8,58,7,98.9,21
75,0,11,5,60.25,23
72,0,34,6,56.25,32
68,6,55,4,74,54
73,0,9,3,79.55,76
79,5,14,6,95.8,29
72,2,34,3,71.55,72
78,10,19,6,94.95,40
76,0,24,5,80.5,40
77,0,35,4,39.85,60
69,0,71,2,24.85,53
71,8,7,6,89,36
65,0,57,7,55,76
78,0,72,11,117.35,71
80,0,59,7,89.75,70
71,0,2,4,49.95,78
79,0,32,1,19.8,78
78,0,12,4,73.3,38
80,0,45,8,70.05,43
67,0,5,6,85.55,48
74,9,61,6,65.2,30
73,8,14,4,75.1,66
75,2,72,9,115.75,50
80,10,56,8,95.65,20
65,0,46,9,104.45,76
70,5,4,3,70.2,53
80,0,32,5,90.95,52
79,7,67,6,60.95,41
68,0,29,6,58.55,30
73,0,14,5,80.35,39
70,0,18,4,84.95,74
77,0,72,9,110.1,57
73,0,71,7,99.65,77
74,0,5,5,45.4,68
78,0,52,6,59.85,71
76,5,31,6,89.45,68
66,6,24,5,79.85,36
65,9,36,5,54.1,48
65,0,4,4,48.75,25
76,7,46,9,110.2,55
74,9,71,6,46.35,28
76,0,45,6,93.9,58
79,8,26,7,98.1,38
79,2,54,10,115.6,45
76,10,60,7,97.95,29
73,4,72,8,77.35,29
79,0,70,8,75.5,62
80,7,10,4,75.3,41
74,0,9,4,49.2,22
68,2,32,5,79.3,27
70,7,72,8,105.75,53
70,8,62,9,104.85,68
71,0,69,9,74.1,34
80,0,57,9,101.3,48
80,0,65,8,99.1,52
80,0,4,7,94.75,44
73,5,69,8,95.35,21
72,0,8,4,74.05,79
74,0,63,7,89.6,38
69,10,71,7,71,55
65,0,26,7,93.6,54
73,0,18,6,58.4,54
66,0,72,10,107.4,56
68,10,70,7,90.85,64
75,0,21,8,104.35,22
72,0,54,7,55.45,58
69,0,56,8,96.85,57
67,0,64,9,102.1,47
68,0,31,7,96.6,40
66,5,15,7,94.65,70
79,0,64,1,20.05,44
67,0,34,3,69.15,63
77,5,71,1,19.8,69
80,7,71,7,69.2,65
68,4,31,6,84.85,30
80,0,36,4,74.9,23
77,5,64,5,80.3,34
75,7,72,8,97.25,69
73,0,43,3,33.45,79
67,0,69,1,20.3,21
73,1,63,10,108.5,49
65,10,48,6,58.95,49
65,0,46,8,69.1,30
72,4,72,9,111.65,36
78,0,20,4,84.35,70
72,2,57,7,71.1,40
70,4,44,6,85.15,45
77,7,72,6,84.8,54
65,1,63,10,84,42
79,5,45,2,24.7,61
71,0,45,8,97.05,34
70,0,16,4,74.45,47
73,7,29,6,84.3,67
65,4,68,7,53,31
79,8,13,8,93.8,43
69,5,22,2,25.6,75
66,0,62,10,110.75,43
76,4,43,7,94.5,32
78,0,23,4,34.65,67
73,10,71,6,52.3,51
65,0,14,7,95.6,78
75,0,48,3,29.9,49
68,1,54,8,99.1,54
79,1,53,2,25.1,70
66,1,55,8,76.25,42
73,0,33,2,24.9,52
80,1,23,8,104.45,37
65,0,50,6,83.4,68
73,3,47,7,99.7,67
73,0,2,4,72.6,47
70,0,55,10,116.5,58
67,0,71,8,106.8,28
75,7,3,3,30.75,27
65,8,41,6,94.55,45
78,0,41,8,104.4,61
79,1,30,7,101.5,73
69,1,29,7,103.95,58
72,0,66,8,108.1,20
69,2,38,2,24.85,33
77,9,17,6,92.55,23
65,7,65,9,107.45,32
68,0,45,7,100.15,21
65,10,65,9,105.85,80
68,7,71,8,107.5,64
79,0,35,7,73,59
65,1,30,4,77.9,49
77,5,54,9,110.45,77
77,0,55,5,44.85,49
69,7,69,3,29.8,43
79,3,9,1,19.85,59
73,3,66,10,108.1,35
70,1,50,10,108.75,54
71,1,60,8,105.9,40
78,1,13,3,70.45,53
73,1,72,9,109.75,34
75,0,50,8,104.95,39
78,5,61,6,85.55,62
67,0,18,5,80.55,27
66,4,72,5,78.5,69
71,3,65,7,92.7,64
74,10,71,6,89.45,72
71,1,45,8,98.7,66
69,0,67,7,92.45,80
76,5,71,6,86.7,44
78,1,72,8,105,56
77,0,21,6,95.4,47
72,1,71,10,115.05,53
76,0,14,4,78.85,44
71,0,21,5,86.55,67
79,0,21,1,20.5,62
72,7,56,4,76.85,66
77,0,49,10,103,75
65,0,46,6,91.3,43
